Credit_Rating,Name,Ticker,Rating Agency Name,Date,Sector,Current_Ratio,_quickRatio,_cashRatio,_dso,_netProfitMargin,_pretax_margin,_grossProfitMargin,EBIT_Margin,ROA,ROCE,ROE,Asset_Turnover,_fixedAssetTurnover,Debt/Equity,Debt/Assets,_tax_rate,_fcf_ocf_ratio,_fcf_per_share,_cash_per_share,_equityMultiplier,_ebitPerRevenue,_ev_multiple,_ocf_per_share,_ocf_sales_ratio,_payablesTurnover,Net_Debt/EBITDA,WCTA,RETA,Market_to_Book,Revenue_Growth_YoY,Log_Revenue,Market_Cap,data_source,Company_Name,Exchange,_Revenue,_Net_Income,_EBIT,_Total_Assets,_Total_Equity,_Total_Debt,_Current_Assets,_Current_Liabilities,_Is_Bank,Has_Rating,ROA_SectorRatio,ROE_SectorRatio,EBIT_Margin_SectorRatio,Current_Ratio_SectorRatio,Debt/Assets_SectorRatio,Asset_Turnover_SectorRatio,Net_Debt/EBITDA_SectorRatio
BBB,Zoetis Inc.,ZTS,Standard & Poor's Ratings Services,2016-12-23,Healthcare,3.034914951,1.468218442,0.650850492,68.17614566,0.167962357,0.251227496,0.387888707,0.251227496,0.107334292,0.187997551,0.552118359,0.639037783,3.539464156,4.143913921,0.805595503,0.333061889,0.697054698,1.002592215,1.466568492,5.143913921,0.251227496,20.87428682,1.438326458,0.14586743,6.286792453,9.61991241993671,0.2011504424856616,0.3312710154,4.143913921,0.08,2.0,1000000000.0,kaggle,,,,,,,,,,,,,1.5333470285714283,3.9437025642857138,2.0935624666666666,1.5174574755,2.3017014371428575,0.9129111185714287,6.413274946624473
BB,Royal Caribbean Cruises Ltd.,RCL,Standard & Poor's Ratings Services,2016-12-23,Retail,0.168476412,0.03065989,0.029854775,0.0,0.15105078,0.15105078,0.409686643,0.173862439,0.0575244,0.071823152,0.140700585,0.380828221,0.421418633,1.445928766,0.591157349,0.0,0.008871573,0.103163743,0.629226291,2.445928766,0.15105078,12.24173135,11.62857352,0.296206594,16.42753175,10.20043234870299,-0.5,0.0844203509999999,1.4459287660000002,0.04,2.0,1000000000.0,kaggle,,,,,,,,,,,,,0.8217771428571429,0.9380039,3.47724878,0.112317608,1.4778933725,0.2115712338888889,5.100216174351495
B,"HD Supply Holdings, Inc.",HDS,Standard & Poor's Ratings Services,2016-12-21,Retail,2.276693456,1.345579793,0.308840413,40.2646183,0.199242014,0.032620466,0.332430969,0.099621007,0.244680851,0.046841594,1.978494624,1.228058511,22.66257669,7.086021505,0.876329787,-1.0,0.796208531,0.001705489,0.001812082,8.086021505,0.032620466,200.0,0.002142012,0.057119653,9.708661417,26.38990951978632,0.168229954625916,1.0,7.086021505,0.04,2.0,1000000000.0,kaggle,,,,,,,,,,,,,3.4954407285714284,10.0,1.99242014,1.5177956373333332,2.1908244674999997,0.6822547283333333,10.0
BBB,"CSG Systems International, Inc.",CSGS,Standard & Poor's Ratings Services,2016-12-20,Technology,2.221720516,1.926079935,0.501335164,100.2150579,0.08263531,0.131411983,0.507006957,0.174292142,0.07050508,0.156285067,0.250167091,0.853207666,22.97856021,2.548213717,0.718168047,0.371173712,0.740455658,2.012916559,8.928506846,3.548213717,0.131411983,9.797003195,2.718483596,0.110631599,10.68247053,12.361453111294026,0.1649695144643476,0.1501002546,2.548213717,0.15,2.2954100987748527,1000000000.0,kaggle,,,,,,,,,,,,,0.7833897777777777,1.56354431875,0.9682896777777779,0.8886882064,3.590840235,1.0037737247058824,10.0
BBB,PLDT Inc.,PHI,Standard & Poor's Ratings Services,2016-12-19,Energy,0.472295935,0.363831155,0.212743046,53.9696966,0.121056262,0.132607617,0.831382895,0.149477799,0.042107346,0.074768173,0.184941068,0.347832859,0.813345276,3.388786688,0.771558283,0.087109286,0.278239574,72.04158278,193.4037635,4.392133118,0.132607617,2.652201622,258.9192536,0.338498868,0.526270066,15.48507446915244,-0.3351949652075662,0.1109646407999999,3.3921331180000003,0.05,5.269937251406846,1000000000.0,kaggle,,,,,,,,,,,,,0.8421469199999999,1.6812824363636363,0.99651866,0.31486395666666667,1.543116566,0.695665718,5.16169148971748
BBB,"Huntington Ingalls Industries, Inc.",HII,Standard & Poor's Ratings Services,2016-12-16,Manufacturing,1.594936709,1.402829486,0.536113179,60.11035654,0.08106961,0.110922467,0.380305603,0.12139219,0.090207809,0.156518267,0.346642468,1.112720403,3.558912387,2.842710224,0.739767003,0.269132653,0.653284672,11.47435897,15.38461538,3.842710224,0.110922467,9.125021926,17.56410256,0.116298812,13.86075949,18.282074069180236,0.1119047619211829,0.2079854807999999,2.842710224,0.06,2.796342807966198,1000000000.0,kaggle,,,,,,,,,,,,,1.5034634833333334,2.888687233333333,1.348802111111111,0.8860759494444443,1.6439266733333333,1.112720403,7.3128296276720945
BB,PBF Logistics LP,PBFX,Standard & Poor's Ratings Services,2016-12-16,Energy,2.22250743,1.62927437,0.964018734,131.8507613,9.426684613,6.866492807,1.0,1.0,0.149780118,0.11976605,-2.0,0.01588895,0.019809323,-10.0,1.0,0.0,0.836304684,3.737910935,4.677155783,-22.30427524,6.866492807,7.40118325,4.46955638,5.0,0.0,3.0,0.165017324149058,-1.0,0.0,0.05,2.0,1000000000.0,kaggle,,,,,,,,,,,,,2.9956023599999995,0.0,6.666666666666667,1.48167162,2.0,0.0317779,1.0
CCC,"Kratos Defense & Security Solutions, Inc.",KTOS,Standard & Poor's Ratings Services,2016-12-16,Manufacturing,1.898727735,1.590330789,0.351653944,125.2145955,-0.090474054,-0.078211455,0.229699417,-0.027815164,-0.063778199,-0.069538625,-0.218885673,0.704933586,13.42771084,2.431982634,0.708623234,-0.154875717,1.0,-0.20228385,1.355628059,3.431982634,-0.078211455,129.5665152,-0.20228385,-0.018543443,9.774193548,30.0,0.1419994639199811,-0.1313314038,2.431982634,0.06,2.0,1000000000.0,kaggle,,,,,,,,,,,,,0.0,0.0,0.0,1.0548487416666668,1.5747182977777778,0.704933586,10.0
BBB,"Host Hotels & Resorts, Inc.",HST,Standard & Poor's Ratings Services,2016-12-16,Retail,0.250673854,0.250673854,0.250673854,0.0,0.140331492,0.149355433,0.794843462,0.125966851,0.066795231,0.08172108,0.108950529,0.475981767,0.535239034,0.631112382,0.386921459,0.049321825,0.775134305,1.35935397,0.500672948,1.631112382,0.149355433,10.86178092,1.753701211,0.239963168,4.007194245,9.214839997865788,-0.5,0.0653703174,0.631112382,0.04,2.0,1000000000.0,kaggle,,,,,,,,,,,,,0.9542175857142856,0.7263368600000001,2.5193370199999996,0.16711590266666665,0.9673036475,0.264434315,4.607419998932894
BB,"Amkor Technology, Inc.",AMKR,Standard & Poor's Ratings Services,2016-12-16,Technology,1.401760633,1.108350627,0.54642469,52.78719115,0.042168822,0.055258646,0.178618951,0.075492438,0.04012379,0.069710749,0.11866972,0.951503707,1.5181947,1.957589976,0.661886871,0.222409682,0.10880694,0.334282441,2.323002662,2.957589976,0.055258646,3.659941613,3.072252923,0.187331889,6.561266233,26.3027750276127,0.0859834318802702,0.071201832,1.957589976,0.15,2.0,1000000000.0,kaggle,,,,,,,,,,,,,0.4458198888888889,0.74168575,0.4194024333333333,0.5607042532000001,3.3094343549999996,1.119416125882353,10.0
